cognitive_ability	math_score	english_score	birth_year	studying_time	grade	female	male	income_status	mother_edu	father_edu	sibling_number
-1.575413942	61.92362976	53.19986725	2000	0	7	0	1	2	2	3	1
0.444139987	81.04406738	81.7064743	2001	1	7	1	0	3	3	6	0
-0.328649014	81.51041412	79.24900818	2001	3	7	0	1	3	3	3	0
0.331456006	76.84689331	59.09778595	1999	2	7	0	1	3	2	3	2
-0.137008995	77.31324768	72.85959625	2001	1	7	1	0	2	3	4	2
0.188951001	78.71230316	81.7064743	2000	0	7	0	1	2	3	3	1
-0.804614007	49.3321228	68.43615723	2001	0	7	1	0	3	3	3	3
0.657483995	75.9141922	69.9106369	2001	0	7	1	0	3	6	6	1
-0.065090999	57.26010895	47.30194855	2000	0	7	1	0	3	2	2	2
0.692014992	66.1207962	63.02973175	2000	0	7	0	1	2	6	3	1
-0.30657801	73.58243561	74.82556915	2001	2	7	1	0	3	3	3	0
0.094456002	81.51041412	79.7405014	2001	1	7	1	0	3	3	6	0
0.425635993	83.37582397	86.62140656	2000	4	7	0	1	3	2	5	0
-0.194867998	68.91891479	76.79154205	2001	0	7	0	1	3	3	3	1
0.090278	67.51985168	53.69136047	2000	0	7	0	1	4	3	6	2
0.777809024	82.44312286	80.23199463	2001	0	7	0	1	3	3	3	1
-0.057174001	77.77960205	79.7405014	2001	0	7	1	0	3	2	3	2
0.128040001	82.45774078	93.6500473	1999	0	9	1	0	2	3	2	2
0.187491	72.46642303	74.27124786	1998	2	9	0	1	3	3	4	1
-0.526951015	82.45774078	77.50104523	1998	0	9	0	1	2	1	6	1
-0.843913019	68.46990204	66.42744446	1998	0	9	0	1	3	3	3	1
0.455442011	74.46469116	67.81164551	1998	1	9	0	1	3	3	5	1
0.137069002	78.06156158	63.65904617	1998	0	9	0	1	3	2	3	1
-0.315311015	74.06503296	55.35384369	1998	0	9	0	1	3	2	2	0
1.441167951	76.46295166	88.11325073	1999	0	9	1	0	4	3	3	2
-0.281906009	87.25357056	75.19404602	1999	0	9	0	1	3	3	3	0
0.360576004	81.65843201	83.03784943	1998	0	9	1	0	3	1	6	2
-0.290491015	79.26052094	86.72904968	1999	1	9	1	0	2	2	2	2
-1.253479004	72.86608124	73.34844971	1998	0	9	1	0	2	3	3	0
-0.709811985	74.06503296	73.34844971	1999	0	9	1	0	3	3	3	2
-0.784377992	68.86955261	71.04144287	1998	3	9	1	0	3	2	2	2
-0.724197984	72.86608124	73.80984497	1999	0	9	1	0	3	6	3	1
-0.405396014	71.66712189	67.81164551	1999	0	9	0	1	3	2	3	1
-0.322445989	74.46469116	65.04324341	1998	0	9	1	0	3	2	3	1
-0.759733975	69.26920319	83.96064758	1999	0	9	1	0	3	6	6	1
-1.249912024	82.85739136	77.96244812	1998	1	9	1	0	3	7	7	1
0.283740014	82.45774078	77.50104523	2000	1	9	1	0	3	3	6	1
-0.736508012	54.08241272	68.73444366	1998	0	9	1	0	3	6	4	0
-1.112095952	75.66364288	68.2730484	1998	0	9	0	1	3	2	3	2
-0.642274976	64.47337341	58.58364487	1998	0	9	0	1	3	3	3	1
-1.13953197	60.07719803	58.12224197	2001	0	9	0	1	3	4	8	0
-0.81843102	64.47337341	63.19764328	1999	0	9	0	1	2	4	4	2
-1.404227018	66.87129211	61.81344223	1997	0	9	0	1	4	3	6	1
-0.486007988	60.47685242	65.96604156	1997	0	9	1	0	3	3	3	1
